ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
1,,Sooty Albatross,Phoebetria fusca,Moruya,2 Aug 1987,Not Confirmed (not assessed)
2,,Pink Robin,Petroica rodinogaster,"Korrungulla Swamp, Primbee",4 Sep 1987,Accepted
3,,Yellow Chat,Epthianura crocea,69 km east of Broken Hill ,15 Oct 1987,Not accepted
4,,Great Frigatebird,Fregata minor,Yamba,21 Feb 1987,Accepted
5,109,Tropical Shearwater,Puffinus bailloni,off Wollongong,28 Feb 1987,Accepted
6,143,White-rumped Sandpiper,Calidris fuscicollis,Tullakool Saltworks,18 Dec 1987,Accepted
7,,Common Redshank,Tringa totanus,"Wallagoot Lake, Bournda NP",29 Dec 1987,Not accepted
8,,Little Stint,Calidris minuta,Tullakool Saltworks,23 Nov 1987,Accepted
9,,Cox's Sandpiper,[Calidris paramelanotus],Stockton Sandspit,26 Jan 1988,Accepted
10,,White-chinned Petrel,Procellaria aequinoctialis,off Botany Bay,13 Feb 1988,Accepted
11,,Barn Swallow,Hirundo rustica,Shortland Wetlands Centre,12 Mar 1988,Accepted
12,,Wilson's Phalarope,Phalaropus tricolor,Tullakool Saltworks,4 Apr 1988,Not accepted
13,,Arctic Tern,Sterna paradisaea,off Wollongong,17 Apr 1988,Not Confirmed (not assessed)
14,,Herald Petrel,Pterodroma heraldica,off Wollongong,17 Apr 1988,Not Confirmed (not assessed)
15,,Asian Dowitcher,Limnodromus semipalmatus,Stockton Sandspit,2 Aug 1988,Accepted
16,,Arctic Tern,Sterna paradisaea,Windang,22 Oct 1988,Not accepted
17,168,Juan Fernandez Petrel,Pterodroma externa,Cessnock,27 Oct 1988,Accepted
18,,Oriental Plover,Charadrius veredus,"Picnic Point, The Entrance",13 Nov 1988,Accepted
19,,Red-tailed Tropicbird,Phaethon rubricauda,Wamberal Beach,19 Mar 1989,Accepted
20,,Squatter Pigeon,Geophaps scripta,Hilston,31 Oct 1989,Not Confirmed (not assessed)
21,,Arctic Tern,Sterna paradisaea,off Wollongong,24 Sep 1989,Not Confirmed (not assessed)
22,,Pied Heron,Egretta picata,Riverina region,30 Sep 1989,Not accepted
23,,American Golden Plover,Pluvialis dominica,Comerong Island,3 Oct 1989,Not accepted
24,121,Northern Shoveler,Anas clypeata,"Lakeside HSD, Lake Cowal",17 Oct 1989,Not accepted
25,,Black-throated Finch,Poephila cincta,"MacIntyre River, Inverell",24 Oct 1989,Not accepted
26,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,31 Oct 1989,Not Confirmed (not assessed)
27,,Black-bellied Storm Petrel,Fregetta tropica,off Wollongong,26 Nov 1989,Accepted
28,,Fairy Tern,Sternula nereis,North Botany Bay,10 Dec 1989,Not Confirmed (not assessed)
29,,Brown Booby,Sula leucogaster,Norah Head ,16 Jan 1990,Accepted
30,,Tahiti Petrel,Pseudobulweria rostrata,off Wollongong,24 Apr 1990,Accepted
31,,Grey Ternlet,Procelsterna albivitta,off Wollongong,25 Feb 1990,Not Confirmed (not assessed)
32,674,Black Tern,Chlidonias niger,"Boat Harbour, Kurnell",24 Feb 1990,Accepted
33,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,25 Feb 1990,Accepted
34,,Black-bellied Storm Petrel,Fregetta tropica,Lake Cathie entrance,28 Feb 1990,Accepted
35,,Australian Swiftlet,Aerodramus terraereginae,Bowraville,12 May 1990,Not accepted
36,145,Cook's Petrel,Pterodroma cookii,off Wollongong,22 Sep 1990,Not accepted
37,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,22 Sep 1990,Accepted
38,,Kermadec Petrel,Pterodroma neglecta,Cape Banks,24 Oct 1990,Not accepted
39,,Streaked Shearwater,Calonectris leucomelas,"off North Head, Sydney",10 Feb 1991,Not accepted
40,,Common Noddy,Anous stolidus,Manly,21 Jan 1991,Accepted
41,,Masked Owl,Tyto novaehollandiae,Heathcote East,18 Apr 1991,Accepted
42,,Little Friarbird,Philemon citreogularis ,Lake Illawarra,27 Apr 1991,Accepted
43,,Bourke's Parrot,Neopsephotus bourkii,Gillgandra,25 Jun 1991,Not accepted
44,,Common Noddy,Anous stolidus,"Woody Head, Iluka ",9 Jan 1992,Accepted
45,,Pied Butcherbird,Cracticus nigrogularis,Heathcote,17 Aug 1991,Accepted
46,,Fairy Tern,Sternula nereis,"Long Reef, Sydney ",9 Aug 1991,Not accepted
47,,Long-toed Stint,Calidris subminuta,"Fivebough Swamp, Leeton",18 Aug 1991,Accepted
48,,White-chinned Petrel,Procellaria aequinoctialis,off Long Reef,28 Aug 1991,Not Confirmed (not assessed)
49,,Southern Royal Albatross,Diomedea (e.) epomophora,Green Cape,26 Aug 1991,Not accepted
50,,Oriental Plover,Charadrius veredus,"Bombah Point, Myall Lakes NP",12 Sep 1991,Accepted
51,132,Franklin's Gull,Leucophaeus pipixcan,Menindee Lakes,3 Oct 1991,Not accepted
52,,Blue Petrel,Halobaena caerulea,"Sandon Beach, Yuraygir NP",12 Oct 1991,Accepted
54,,Little Stint,Calidris minuta,Kooragang Island,30 Dec 1990,Not accepted
55,,Long-toed Stint,Calidris subminuta,"Fivebough Swamp, Leeton",9 Dec 1991,Accepted
56,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,15 Nov 1991,Accepted
57,136,Cook's Petrel,Pterodroma cookii,off Wollongong,2 Dec 1991,Not accepted
58,,Red-tailed Tropicbird,Phaethon rubricauda,Bathurst,14 Dec 1991,Accepted
59,,Mottled Petrel,Pterodroma inexpectata,off Wollongong,19 Jan 1992,Accepted
60,,White-necked Petrel,Pterodroma cervicalis,off Wollongong,19 Jan 1992,Not Confirmed (not assessed)
61,,Brown Booby,Sula leucogaster,Forster,31 May 1991,Not accepted
