Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
297,Abbott's Booby,Papasula abbotti,Echo Beach ,WA,12/16/1999,,Accepted,1
432,Abbott's Booby,Papasula abbotti,Ashmore Reef,WA,1/26/2003,,Accepted,2
541,Abbott's Booby,Papasula abbotti,Exmouth Plateau ,WA,9/12/2007,,Accepted,3
859,Adelie Penguin,Pygoscelis adeliae,Macquarie Island,TAS,12/16/2014,,Accepted,1
1001,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,12/4/2016,Submission,Accepted,1
1224,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,2018-2019 Season,Submission,Accepted,2
1225,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,2019-2020 Season,Submission,Accepted,3
1226,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,2020-2021 Season,Submission,Accepted,4
1227,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,2021-2022 Season,Submission,Accepted,5
1285,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, Old Bar",NSW,2022-2023 Season,Submission,Accepted,6
189,American Golden Plover,Pluvialis dominica,Byron Bay,NSW,11/8/1994,,Accepted,1
193,American Golden Plover,Pluvialis dominica,Cains Esplanade,QLD,2/24/1995,,Not Accepted,x
233,American Golden Plover,Pluvialis dominica,Pitt Town ,NSW,Nov-97,,Not Accepted,x
409,American Golden Plover,Pluvialis dominica,Lady Elliott Island ,QLD,10/31/2002,,Not Accepted,x
481,American Golden Plover,Pluvialis dominica,Shoalhaven Heads ,NSW,4/1/2006,,Not Accepted,x
529,American Golden Plover,Pluvialis dominica,Dry Creek Salt Fields ,SA,11/6/2006,,Accepted,2
645,American Golden Plover,Pluvialis dominica,Shoalhaven Heads,NSW,9/27/2006,,Not Accepted,x
766,American Golden Plover,Pluvialis dominica,"Boat Harbour, Sydney",NSW,1/6/2009,,Accepted,3
864,American Golden Plover,Pluvialis dominica,Altona,VIC,12/12/2013,,Not Accepted,x
1138,American Golden Plover,Pluvialis dominica,Lady Elliot Island,QLD,3/15/2020,Submission,Accepted,4
887,Amsterdam Albatross,Diomedea amsterdamensis,South Australian Basin,SA,Mar-Apr- 12,,Accepted,1
901,Amsterdam Albatross,Diomedea amsterdamensis,off SA coast,SA,12/5/2012,,Not Accepted,x
930,Amsterdam Albatross,Diomedea amsterdamensis,Bremer Canyon,WA,4/17/2016,,Accepted,2
1205,Amur Falcon,Falco amurensis,Cocos (Keeling) Islands,IOT,6/3/2021,Submission,Accepted,1
277,Antarctic Petrel,Thalassoica antarctica,"Mistral Point, Sydney ",NSW,8/26/1999,,Accepted,1
396,Antarctic Petrel,Thalassoica antarctica,Macquarie Island ,TAS,7/16/2003,,Accepted,2
727,Antarctic Petrel,Thalassoica antarctica,NW of Macquarie Island,TAS,11/4/2011,,Accepted,3
1069,Antarctic Petrel,Thalassoica antarctica,Mornington Peninsula,VIC,8/13/1978,Submission,Accepted,4
1070,Antarctic Petrel,Thalassoica antarctica,Discovery Bay,VIC,8/23/1984,Submission,Accepted,5
1076,Antarctic Petrel,Thalassoica antarctica,Discovery Bay,VIC,6/5/2019,Submission,Accepted,6
1220,Antarctic Petrel,Thalassoica antarctica,Portland,VIC,5/16/2021,Submission,Accepted,7
381,Antarctic Tern,Sterna vittata,Bribie Island ,QLD,10/17/2002,,Not Accepted,x
525,Antarctic Tern,Sterna vittata,Flinders Chase NP ,SA,9/2/2006,,Accepted,1
582,Antarctic Tern,Sterna vittata,Off Southport ,TAS,7/29/2008,,Accepted,2
934,Antarctic Tern,Sterna vittata,off Port Fairy,VIC,7/3/2005,,Accepted,3
935,Antarctic Tern,Sterna vittata,off Eaglehawk Neck,TAS,7/28/2013,,Accepted,4
936,Antarctic Tern,Sterna vittata,off Eaglehawk Neck,TAS,9/11/2016,,Accepted,5
938,Antarctic Tern,Sterna vittata,Sorrento,VIC,10/28/2016,,Accepted,7
939,Antarctic Tern,Sterna vittata,Port Fairy,VIC,7/9/2016,,Accepted,6
977,Antarctic Tern,Sterna vittata,off Tasman Island,TAS,10/8/2016,,Accepted,8
1206,Antarctic Tern,Sterna vittata,Port MacDonnell,VIC,14-Aug-21 - 20-Sep-21,Submission,Accepted,10
1255,Antarctic Tern,Sterna vittata,Port MacDonnell,SA,7/30/2022,Submission,Accepted,11
1036,Arafura Fantail,Rhipidura dryas semicollaris,Ashmore Reef,WA,16-20-Oct-10,Submission,Accepted,1
1037,Arafura Fantail,Rhipidura dryas semicollaris,Ashmore Reef,WA,15-16-Nov-11,Submission,Accepted,2
1038,Arafura Fantail,Rhipidura dryas semicollaris,Ashmore Reef,WA,22-25-Oct-13,Submission,Accepted,3
1039,Arafura Fantail,Rhipidura dryas semicollaris,Ashmore Reef,WA,11/7/2016,Submission,Accepted,4
142,Arctic Warbler,Phylloscopus borealis,Dampier,WA,12/24/1985,,Not Accepted,x
220,Arctic Warbler,Phylloscopus borealis,Anna Plains Station ,WA,Jan-96,,Not Accepted,x
240,Arctic Warbler,Phylloscopus borealis,Broome ,WA,1/23/1998,,Noted Accept,x
243,Arctic Warbler,Phylloscopus borealis,Lacepede Islands ,WA,12/17/1997,,Not Accepted,x
